name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
AJ Cunningham,11.0,4.0,177.8,70.31,180.34,Orthodox,29.0,7.66,0.29,11.9,0.48,0.0,0.0,0.33,0.0,,,,,,,
AJ Dobson,7.0,3.0,185.42,83.91,193.04,Orthodox,32.0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,98.0,2.0,0.0,"UFC Fight Night: Luque vs. Dos Anjos, UFC 271: Adesanya vs. Whittaker 2","Red, Blue",U-DEC,Men
AJ Fletcher,10.0,3.0,177.8,77.11,170.18,Switch,27.0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9,23.0,0.0,1.0,"UFC Fight Night: Andrade vs. Blanchfield, UFC 278: Usman vs. Edwards","Red, Blue",SUB Guillotine Choke,Men
Aalon Cruz,8.0,4.0,182.88,65.77,198.12,Switch,34.0,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,2.0,0.0,0.0,UFC Fight Night: Benavidez vs. Figueiredo,Blue,,Men
Aaron Brink,26.0,26.0,190.5,92.99,,Orthodox,49.0,3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0,,,,,,,
Aaron Phillips,12.0,5.0,175.26,61.23,180.34,Southpaw,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,79.0,3.0,1.0,"UFC Fight Night: Holloway vs. Allen, UFC Fight Night: Henderson vs Dos Anjos",Blue,,Men
Aaron Riley,30.0,14.0,172.72,70.31,175.26,Southpaw,43.0,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,26.0,0.0,0.0,"UFC on FOX: Johnson vs Moraga, UFC 114: Rampage vs Evans, UFC 101: Declaration, UFC 91: Couture vs Lesnar","Blue, Red",U-DEC,Men
Aaron Rosa,18.0,6.0,193.04,92.99,195.58,Orthodox,40.0,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,256.0,0.0,0.0,UFC on FOX: Velasquez vs Dos Santos,Red,M-DEC,Men
Aaron Simpson,12.0,5.0,182.88,77.11,185.42,Orthodox,49.0,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,50.0,1.0,1.0,"UFC on FX: Browne vs Bigfoot, UFC on FUEL TV: Munoz vs Weidman, UFC on FUEL TV: Sanchez vs Ellenberger, UFC 136: Edgar vs Maynard 3, UFC 123: Rampage vs Machida, UFC Fight Night: Maynard vs Diaz, UFC 102: Couture vs Nogueira, UFC Fight Night: Condit vs Kampmann","Blue, Red","U-DEC, KO/TKO",Men
Aaron Wilkinson,11.0,7.0,177.8,70.31,,Orthodox,37.0,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,,,,,,,
Abdul Razak Alhassan,12.0,6.0,177.8,83.91,185.42,Orthodox,38.0,3.37,0.48,3.99,0.55,0.89,0.38,0.5,0.2,32.0,0.0,0.0,"UFC Fight Night: Whittaker vs. Gastelum, UFC Fight Night: Felder vs. Dos Anjos, UFC Fight Night: Kattar vs. Ige, UFC 228: Woodley vs. Till, UFC Fight Night: Gustafsson vs. Teixeira","Blue, Red","KO/TKO Punches, KO/TKO Punch",Men
Abdul-Kareem Al-Selwady,15.0,4.0,172.72,70.31,175.26,Orthodox,28.0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,50.0,3.0,0.0,UFC Fight Night: Rozenstruik vs. Gaziev,Blue,,Men
Abdul-Kerim Edilov,17.0,4.0,187.96,92.99,,Orthodox,32.0,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0,,,,,,KO/TKO Punches,
Abel Trujillo,15.0,8.0,172.72,70.31,177.8,Orthodox,40.0,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,14.0,1.0,0.0,"UFC Fight Night: Bermudez vs. The Korean Zombie, UFC Fight Night: Almeida vs Garbrandt, UFC 195: Lawler vs Condit, UFC on FOX: Johnson vs. Benavidez 2","Blue, Red","U-DEC, SUB Guillotine Choke, KO/TKO Punch, KO/TKO Punches",Men
Abner Lloveras,20.0,9.0,180.34,70.31,,,41.0,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0,,,,,,,
Abu Azaitar,14.0,4.0,175.26,83.91,193.04,Orthodox,38.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,87.0,2.0,0.0,UFC 294: Makhachev vs. Volkanovski 2,Blue,U-DEC,Men
Abubakar Nurmagomedov,17.0,4.0,180.34,77.11,182.88,Orthodox,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,48.0,1.0,0.0,"UFC Fight Night: Kara-France vs. Albazi, UFC 280: Oliveira vs. Makhachev, UFC Fight Night: Zabit vs. Kattar","Blue, Red",U-DEC,Men
Abus Magomedov,25.0,6.0,187.96,83.91,198.12,Orthodox,33.0,3.73,0.42,5.36,0.54,0.61,0.5,1.0,0.0,7.0,0.0,0.0,UFC Fight Night: Gane vs. Tuivasa,Red,KO/TKO Punches,Men
Adam Cella,6.0,8.0,187.96,77.11,,,38.0,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,,,,,,,
Adam Fugitt,9.0,4.0,185.42,77.11,195.58,Southpaw,35.0,4.3,0.54,5.13,0.48,3.43,0.33,0.5,0.0,,,,,,KO/TKO Elbows,
Adam Milstead,8.0,4.0,190.5,92.99,193.04,Orthodox,36.0,3.85,0.46,4.79,0.43,0.0,0.0,0.64,0.0,22.0,0.0,0.0,UFC Fight Night: Lee vs. Iaquinta,Blue,Overturned,Men
Adam Wieczorek,10.0,2.0,195.58,113.4,205.74,Orthodox,32.0,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,31.0,1.0,0.0,UFC 230: Cormier vs. Lewis,Blue,SUB Omoplata,Men
Adam Yandiev,9.0,1.0,175.26,83.91,187.96,Orthodox,35.0,0.18,0.08,6.14,0.36,0.0,0.0,0.25,0.0,1.0,0.0,0.0,UFC Fight Night: Hunt vs. Oleinik,Blue,,Men
Adlan Amagov,14.0,2.0,187.96,77.11,193.04,Orthodox,37.0,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,,,,,,"KO/TKO Punch, U-DEC",
Adrian Serrano,56.0,29.0,172.72,77.11,,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Adrian Yanez,16.0,5.0,170.18,61.23,177.8,Orthodox,30.0,6.15,0.39,5.73,0.57,0.0,0.0,1.0,0.0,36.0,0.0,0.0,"UFC Fight Night: Kattar vs. Emmett, UFC Fight Night: Sandhagen vs. Dillashaw, UFC Fight Night: Brunson vs. Holland, UFC Fight Night: Hall vs. Silva",Red,KO/TKO Punches,Men
Adriano Martins,28.0,9.0,177.8,70.31,182.88,Southpaw,41.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,3.0,0.0,0.0,"UFC 192: Cormier vs Gustafsson, The Ultimate Fighter: Team Edgar vs. Team Penn Finale, UFC Fight Night: Belfort vs Henderson 2",Red,"KO/TKO Punch, S-DEC",Men
Adriano Santos,0.0,1.0,185.42,81.65,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Aiemann Zahabi,11.0,2.0,172.72,61.23,172.72,Orthodox,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0,77.0,0.0,0.0,"UFC Fight Night: Rozenstruik vs. Gaziev, UFC 289: Nunes vs. Aldana, UFC Fight Night: Dos Anjos vs. Fiziev, UFC Fight Night: Blaydes vs. Lewis, UFC Fight Night: Iaquinta vs. Cowboy, UFC 217: Bisping vs. St-Pierre, UFC Fight Night: Lewis vs. Browne","Red, Blue","KO/TKO Punch, U-DEC",Men
Ailin Perez,9.0,2.0,165.1,61.23,167.64,Switch,29.0,2.96,0.55,1.18,0.57,4.89,0.5,0.75,0.0,,,,,,U-DEC,
Aisling Daly,16.0,6.0,157.48,52.16,162.56,Orthodox,36.0,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,166.0,2.0,0.0,"UFC Fight Night: Holohan vs Smolka, The Ultimate Fighter: A Champion Will Be Crowned Finale",Red,"U-DEC, SUB Armbar",Women
Akbarh Arreola,23.0,11.0,177.8,70.31,180.34,Southpaw,41.0,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,30.0,2.0,0.0,UFC on FOX: Lawler vs Brown,Blue,SUB Armbar,Men
Akihiro Gono,35.0,21.0,170.18,77.11,172.72,Switch,49.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,39.0,1.0,1.0,UFC 78: Validation,Red,SUB Armbar,Men
